starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 26 20:49:58 2021	1635261598	0	1370	1371	1370
Tue Oct 26 20:50:00 2021	1635261600	0	1372	1372	1325
Tue Oct 26 20:49:55 2021	1635261595	0	1373	1374	1372
Tue Oct 26 20:50:00 2021	1635261600	0	1374	1374	1326
Tue Oct 26 20:50:02 2021	1635261602	0	1376	1376	905
Tue Oct 26 20:49:55 2021	1635261595	0	1378	1378	957
Tue Oct 26 20:49:58 2021	1635261598	0	1379	1379	760
Tue Oct 26 20:49:53 2021	1635261593	0	1379	1379	1017
Tue Oct 26 20:49:58 2021	1635261598	0	1380	1380	1033
Tue Oct 26 20:49:51 2021	1635261591	0	1380	1380	1377
Tue Oct 26 20:50:02 2021	1635261602	0	1381	1381	1373
Tue Oct 26 20:50:03 2021	1635261603	0	1382	1382	1381
Tue Oct 26 20:49:54 2021	1635261594	0	1387	1387	1354
Tue Oct 26 20:49:51 2021	1635261591	0	1390	1390	1389
Tue Oct 26 20:50:02 2021	1635261602	0	1392	1392	1391
Tue Oct 26 20:49:56 2021	1635261596	0	1392	1392	1357
Tue Oct 26 20:49:51 2021	1635261591	0	1394	1395	1390
Tue Oct 26 20:49:56 2021	1635261596	3	1394	1398	761
Tue Oct 26 20:49:55 2021	1635261595	0	1403	1403	1402
Tue Oct 26 20:50:02 2021	1635261602	3	1400	1403	1399
Tue Oct 26 20:50:00 2021	1635261600	0	1404	1404	1398
Tue Oct 26 20:50:03 2021	1635261603	0	1405	1405	1400
Tue Oct 26 20:49:58 2021	1635261598	0	1406	1406	1380
Tue Oct 26 20:49:57 2021	1635261597	0	1412	1413	1412
Tue Oct 26 20:49:53 2021	1635261593	0	1413	1413	1157
Tue Oct 26 20:50:02 2021	1635261602	0	1415	1416	998
Tue Oct 26 20:49:55 2021	1635261595	9	1409	1418	1395
Tue Oct 26 20:49:55 2021	1635261595	0	1420	1420	754
Tue Oct 26 20:49:55 2021	1635261595	0	1420	1420	1378
Tue Oct 26 20:49:57 2021	1635261597	0	1421	1422	1051
Tue Oct 26 20:49:58 2021	1635261598	0	1422	1422	1412
Tue Oct 26 20:49:51 2021	1635261591	0	1422	1422	1422
Tue Oct 26 20:49:58 2021	1635261598	0	1422	1422	368
Tue Oct 26 20:50:01 2021	1635261601	0	1425	1425	1410
Tue Oct 26 20:49:51 2021	1635261591	0	1425	1426	1424
Tue Oct 26 20:49:51 2021	1635261591	0	1426	1426	1420
Tue Oct 26 20:50:00 2021	1635261600	0	1426	1426	1425
Tue Oct 26 20:50:03 2021	1635261603	0	1427	1427	1426
Tue Oct 26 20:50:01 2021	1635261601	0	1426	1427	1347
Tue Oct 26 20:49:58 2021	1635261598	0	1427	1427	1029
Tue Oct 26 20:49:58 2021	1635261598	0	1430	1431	1429
Tue Oct 26 20:50:03 2021	1635261603	0	1439	1439	1334
