starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 26 20:49:58 2021	1635261598	0	1027	1027	993
Tue Oct 26 20:50:01 2021	1635261601	0	1036	1036	1034
Tue Oct 26 20:49:54 2021	1635261594	0	1037	1037	950
Tue Oct 26 20:49:53 2021	1635261593	0	1037	1037	860
Tue Oct 26 20:49:55 2021	1635261595	0	1037	1037	421
Tue Oct 26 20:49:52 2021	1635261592	0	1037	1038	1004
Tue Oct 26 20:49:50 2021	1635261590	2	1036	1038	1034
Tue Oct 26 20:50:01 2021	1635261601	0	1038	1038	1037
Tue Oct 26 20:49:52 2021	1635261592	5	1034	1039	1025
Tue Oct 26 20:50:01 2021	1635261601	0	1041	1041	1041
Tue Oct 26 20:49:50 2021	1635261590	2	1040	1042	661
Tue Oct 26 20:49:53 2021	1635261593	0	1042	1042	923
Tue Oct 26 20:50:02 2021	1635261602	2	1040	1042	1028
Tue Oct 26 20:49:50 2021	1635261590	3	1040	1043	1038
Tue Oct 26 20:50:00 2021	1635261600	0	1043	1043	441
Tue Oct 26 20:49:51 2021	1635261591	0	1043	1044	1020
Tue Oct 26 20:49:55 2021	1635261595	0	1044	1044	1038
Tue Oct 26 20:49:50 2021	1635261590	3	1041	1044	598
Tue Oct 26 20:49:55 2021	1635261595	0	1044	1044	692
Tue Oct 26 20:49:55 2021	1635261595	0	1046	1047	435
Tue Oct 26 20:49:59 2021	1635261599	0	1047	1047	1041
Tue Oct 26 20:49:50 2021	1635261590	2	1045	1047	1045
Tue Oct 26 20:49:57 2021	1635261597	0	1047	1047	509
Tue Oct 26 20:49:52 2021	1635261592	0	1049	1049	935
Tue Oct 26 20:50:04 2021	1635261604	0	1050	1051	1050
Tue Oct 26 20:50:00 2021	1635261600	0	1052	1052	1048
Tue Oct 26 20:49:50 2021	1635261590	2	1050	1052	607
Tue Oct 26 20:49:50 2021	1635261590	5	1047	1052	623
Tue Oct 26 20:49:50 2021	1635261590	3	1050	1052	1049
Tue Oct 26 20:50:04 2021	1635261604	0	1052	1053	1050
Tue Oct 26 20:49:52 2021	1635261592	0	1053	1053	1049
Tue Oct 26 20:49:56 2021	1635261596	0	1053	1053	989
Tue Oct 26 20:49:59 2021	1635261599	0	1053	1053	1047
Tue Oct 26 20:49:58 2021	1635261598	1	1054	1055	1054
Tue Oct 26 20:49:52 2021	1635261592	0	1055	1055	1054
Tue Oct 26 20:49:50 2021	1635261590	4	1051	1055	647
Tue Oct 26 20:49:59 2021	1635261599	0	1055	1055	1042
Tue Oct 26 20:49:50 2021	1635261590	4	1051	1055	661
Tue Oct 26 20:49:50 2021	1635261590	5	1051	1056	639
Tue Oct 26 20:49:55 2021	1635261595	0	1057	1057	1056
Tue Oct 26 20:50:01 2021	1635261601	0	1057	1057	1000
Tue Oct 26 20:49:56 2021	1635261596	0	1057	1057	665
Tue Oct 26 20:49:59 2021	1635261599	0	1058	1058	1058
Tue Oct 26 20:50:00 2021	1635261600	0	1058	1059	1056
Tue Oct 26 20:50:03 2021	1635261603	0	1059	1059	1018
Tue Oct 26 20:49:51 2021	1635261591	0	1059	1059	1056
Tue Oct 26 20:49:56 2021	1635261596	0	1060	1060	982
Tue Oct 26 20:50:04 2021	1635261604	1	1061	1061	1060
Tue Oct 26 20:50:01 2021	1635261601	0	1061	1062	1061
Tue Oct 26 20:50:00 2021	1635261600	0	1061	1062	1023
